,Item1,Item2,support,conf,lift
183,toor dhal 1kg,toor dhal 500gm,0.039928308274419996,0.5961717152945549,12.928156624460383
186,toor dhal 1kg,ulundu full white 1kg,0.0478069302001394,0.7138078424084743,12.2752947967608
188,toor dhal 1kg,jeeragam 50gm,0.033505924524544456,0.5002787585950567,13.067099018387916
189,toor dhal 1kg,jeeragam 100gm,0.0393682166683262,0.5878089574428546,13.322122109108237
194,toor dhal 1kg,vendiyam 100gm,0.039866075873742905,0.5952425199776994,12.665297940966175
196,toor dhal 1kg,sugar 1kg,0.09473016031066414,1.414421111317599,12.366987677407897
197,toor dhal 1kg,gold winner refined sunflower oil 1l,0.03370506820671114,0.5032521836089946,12.529684982919449
198,ulundu full white 500gm,britannia milk bikis biscuits rs.10,0.03069302001394006,1.0090016366612111,32.310572935794475
199,ulundu full white 500gm,tata salt 1kg,0.04628845962361844,1.5216857610474632,31.730682788891095
201,ulundu full white 500gm,pacha pairu yellow 500gm,0.03289604699790899,1.0814238952536825,31.220237671671526
202,ulundu full white 500gm,kadala parupu 500gm,0.039903415314149156,1.311783960720131,31.898901495187104
203,ulundu full white 500gm,pottukadalai 250gm,0.04330130439111819,1.4234860883797054,30.073249088819104
204,ulundu full white 500gm,pottukadalai 500gm,0.03226127651100269,1.060556464811784,30.237526120950314
205,ulundu full white 500gm,toor dhal 500gm,0.039928308274419996,1.3126022913256956,28.464161536915434
206,ulundu full white 500gm,toor dhal 1kg,0.05583490988748382,1.8355155482815058,27.406181232322858
208,ulundu full white 500gm,ulundu full white 1kg,0.0478069302001394,1.5716039279869067,27.026743576665247
209,ulundu full white 500gm,ulundu white broken 100gm,0.03282136811709648,1.0789689034369885,29.099925336603356
210,ulundu full white 500gm,jeeragam 50gm,0.033505924524544456,1.1014729950900164,28.770073575264064
211,ulundu full white 500gm,jeeragam 100gm,0.0393682166683262,1.294189852700491,29.331562630569326
214,ulundu full white 500gm,pepper black 50gm,0.03288360051777357,1.0810147299509,30.27293393627575
215,ulundu full white 500gm,pepper black 100gm,0.030892163696106742,1.0155482815057284,29.47731615942783
216,ulundu full white 500gm,vendiyam 100gm,0.039866075873742905,1.310556464811784,27.88542071208633
218,ulundu full white 500gm,sugar 1kg,0.09473016031066414,3.1141571194762685,27.228625487779006
219,ulundu full white 500gm,gold winner refined sunflower oil 1l,0.03370506820671114,1.1080196399345335,27.586839154291958
220,ulundu full white 1kg,britannia milk bikis biscuits rs.10,0.03069302001394006,0.5278253424657534,16.902191835419885
221,ulundu full white 1kg,tata salt 1kg,0.04628845962361844,0.7960188356164383,16.598841767133955
223,ulundu full white 1kg,pacha pairu yellow 500gm,0.03289604699790899,0.5657106164383561,16.33181953543776
224,ulundu full white 1kg,kadala parupu 500gm,0.039903415314149156,0.6862157534246575,16.6868397376364
225,ulundu full white 1kg,pottukadalai 250gm,0.04330130439111819,0.7446489726027398,15.731810953140815
226,ulundu full white 1kg,pottukadalai 500gm,0.03226127651100269,0.5547945205479452,15.817746969093015
227,ulundu full white 1kg,toor dhal 500gm,0.039928308274419996,0.6866438356164384,14.890070803985727
228,ulundu full white 1kg,toor dhal 1kg,0.05583490988748382,0.9601883561643835,14.33662391519629
231,ulundu full white 1kg,ulundu white broken 100gm,0.03282136811709648,0.5644263698630136,15.222649298514256
232,ulundu full white 1kg,jeeragam 50gm,0.033505924524544456,0.5761986301369862,15.050098419936937
233,ulundu full white 1kg,jeeragam 100gm,0.0393682166683262,0.6770119863013698,15.343822574724193
236,ulundu full white 1kg,pepper black 50gm,0.03288360051777357,0.5654965753424658,15.836269379336027
237,ulundu full white 1kg,pepper black 100gm,0.030892163696106742,0.53125,15.420068641618496
